id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock,is_closed,tot_flows
45494,22747,45495,4573,4583,28365062,1000,1,1000,40,0,11
45495,22747,45494,4583,4573,471634938,500,1,1000,40,0,5
45496,22748,45497,263,8,25499705,1000,1,1000,40,0,49
45497,22748,45496,8,263,524500295,200,1,1000,40,0,0
45498,22749,45499,3657,151,253726957,100,31,1,40,0,3
45499,22749,45498,151,3657,3746273043,2,2,1,144,0,0
45500,22750,45501,106,231,13294344,10000,10,1000,40,0,5
45501,22750,45500,231,106,486705656,100,1,1000,144,0,2
45502,22751,45503,4598,820,43862021,1000,10,1,34,0,12
45503,22751,45502,820,4598,956137979,1000,1,1000,40,0,17
45504,22752,45505,4598,1205,21061709,1000,10,1,34,0,7
45505,22752,45504,1205,4598,978938291,0,0,1000,25,0,14
45506,22753,45507,468,4598,40955455,1000,1,1000,40,0,19
45507,22753,45506,4598,468,959044545,1000,10,1,34,0,26
45508,22754,45509,4598,2,41694589,1000,10,1,34,0,49
45509,22754,45508,2,4598,958305411,0,1000,1000,18,0,25
45510,22755,45511,4598,1777,78567798,1000,10,1,34,0,2
45511,22755,45510,1777,4598,921432202,1000,100,1000,40,0,1
45512,22756,45513,46,4598,13771675,1000,1,1000,40,0,40
45513,22756,45512,4598,46,986228325,1000,10,1,34,0,21
45514,22757,45515,4598,79,54256748,1000,10,1,34,0,17
45515,22757,45514,79,4598,945743252,1000,1,1000,40,0,11
45516,22758,45517,979,4598,55878102,1000,1,1000,40,0,7
45517,22758,45516,4598,979,944121898,1000,10,1,34,0,3
45518,22759,45519,4598,4225,6121495,1000,10,1,34,0,10
45519,22759,45518,4225,4598,993878505,1000,1,1000,40,0,11
45520,22760,45521,4598,1987,92164609,1000,10,1,34,0,10
45521,22760,45520,1987,4598,907835391,1337,7,1337,40,0,15
45522,22761,45523,4598,4346,571488,1000,10,1,34,0,3
45523,22761,45522,4346,4598,999428512,2000,1518,1000,40,0,0
45524,22762,45525,4598,177,28891084,1000,10,1,34,0,7
45525,22762,45524,177,4598,971108916,1000,100,0,144,0,30
45526,22763,45527,4598,17,51758370,1000,10,1,34,0,6
45527,22763,45526,17,4598,948241630,1000,1,1000,40,0,24
45528,22764,45529,4598,457,88130439,1000,10,1000,34,0,3
45529,22764,45528,457,4598,911869561,199,199,0,40,0,2
45530,22765,45531,3617,2647,19438636,1000,400,1000000,30,0,0
45531,22765,45530,2647,3617,2080561364,1000,1,1000,40,0,0
45532,22766,45533,4598,130,98057162,1000,10,1,34,0,25
45533,22766,45532,130,4598,1901942838,1,4000,1000,40,0,6
45534,22767,45535,3999,77,28105432,1000,1,1000,40,0,6
45535,22767,45534,77,3999,253041568,1000,1,1,40,0,15
45536,22768,45537,54,243,62950347,1000,1,1000,40,0,42
45537,22768,45536,243,54,703327653,1000,1,1000,40,0,46
45538,22769,45539,4598,977,149007294,1000,10,1,34,0,38
45539,22769,45538,977,4598,4850992706,849,489,1000,40,0,47
45540,22770,45541,4552,2430,1195433084,5000,75,1000,40,0,0
45541,22770,45540,2430,4552,10804566916,1000,100,1000,40,0,1
45542,22771,45543,2520,3636,39118442,1000,1,1000,40,0,0
